TrackID,Timestamp,Vehicle,Speed (km/h),License Plate,Location
1,2025-10-20 22:27:53,Car,13.53,UNKNOWN,Highway A
2,2025-10-20 22:27:53,Car,47.57,UNKNOWN,Highway A
3,2025-10-20 22:27:53,Car,20.29,UNKNOWN,Highway A
4,2025-10-20 22:27:53,Car,20.29,UNKNOWN,Highway A
5,2025-10-20 22:27:53,Car,12.59,UNKNOWN,Highway A
1,2025-10-20 22:27:54,Car,16.1,UNKNOWN,Highway A
2,2025-10-20 22:27:55,Car,49.66,UNKNOWN,Highway A
3,2025-10-20 22:27:55,Car,25.22,UNKNOWN,Highway A
4,2025-10-20 22:27:55,Car,23.35,UNKNOWN,Highway A
5,2025-10-20 22:27:55,Car,14.23,UNKNOWN,Highway A
1,2025-10-20 22:27:56,Car,17.94,UNKNOWN,Highway A
2,2025-10-20 22:27:56,Car,54.56,UNKNOWN,Highway A
3,2025-10-20 22:27:56,Car,27.47,UNKNOWN,Highway A
4,2025-10-20 22:27:56,Car,25.55,UNKNOWN,Highway A
5,2025-10-20 22:27:56,Car,14.98,UNKNOWN,Highway A
1,2025-10-20 22:27:57,Car,19.02,UNKNOWN,Highway A
3,2025-10-20 22:27:58,Car,29.31,UNKNOWN,Highway A
4,2025-10-20 22:27:58,Car,26.29,UNKNOWN,Highway A
5,2025-10-20 22:27:58,Car,15.93,UNKNOWN,Highway A
6,2025-10-20 22:27:58,Car,10.12,UNKNOWN,Highway A
1,2025-10-20 22:27:59,Car,20.12,UNKNOWN,Highway A
3,2025-10-20 22:27:59,Car,29.89,UNKNOWN,Highway A
4,2025-10-20 22:27:59,Car,26.87,UNKNOWN,Highway A
5,2025-10-20 22:27:59,Car,16.32,UNKNOWN,Highway A
6,2025-10-20 22:27:59,Car,10.62,UNKNOWN,Highway A
1,2025-10-20 22:28:00,Car,19.32,UNKNOWN,Highway A
3,2025-10-20 22:28:00,Car,27.76,UNKNOWN,Highway A
4,2025-10-20 22:28:00,Car,25.65,UNKNOWN,Highway A
5,2025-10-20 22:28:01,Car,15.44,UNKNOWN,Highway A
1,2025-10-20 22:28:01,Car,20.29,UNKNOWN,Highway A
3,2025-10-20 22:28:02,Car,28.3,UNKNOWN,Highway A
4,2025-10-20 22:28:02,Car,24.92,UNKNOWN,Highway A
5,2025-10-20 22:28:02,Car,14.59,UNKNOWN,Highway A
1,2025-10-20 22:28:03,Car,20.53,UNKNOWN,Highway A
3,2025-10-20 22:28:03,Car,28.35,UNKNOWN,Highway A
4,2025-10-20 22:28:03,Car,24.45,UNKNOWN,Highway A
5,2025-10-20 22:28:03,Car,14.59,UNKNOWN,Highway A
1,2025-10-20 22:28:04,Car,22.46,UNKNOWN,Highway A
3,2025-10-20 22:28:04,Car,30.63,UNKNOWN,Highway A
